datetime,epoch,train_loss,test_loss,test_accuracy
2016-07-14_13-35-10,2,0.642884,0.698976,0.880000
2016-07-14_13-35-10,3,0.556527,0.607140,0.910000
2016-07-14_13-35-11,4,0.478151,0.496951,0.920000
2016-07-14_13-35-12,5,0.432418,0.384717,0.930000
2016-07-14_13-35-12,6,0.412622,0.557845,0.910000
2016-07-14_13-35-13,7,0.379917,0.514546,0.900000
2016-07-14_13-35-14,8,0.357797,0.339674,0.960000
2016-07-14_13-35-14,9,0.345661,0.364908,0.950000
2016-07-14_13-35-15,10,0.337185,0.354551,0.960000
2016-07-14_13-35-16,11,0.339981,0.303938,0.960000
2016-07-14_13-35-16,12,0.342048,0.578822,0.960000
2016-07-14_13-35-17,13,0.343262,0.267631,0.970000
2016-07-14_13-35-18,14,0.325015,0.283269,0.970000
2016-07-14_13-35-18,15,0.336314,0.634542,0.930000
2016-07-14_13-35-19,16,0.315498,0.282418,0.960000
2016-07-14_13-35-20,17,0.297204,0.598851,0.940000
2016-07-14_13-35-21,18,0.319913,0.453651,0.960000
2016-07-14_13-35-21,19,0.318266,0.328308,0.980000
2016-07-14_13-35-22,20,0.317423,0.268105,0.990000
2016-07-14_13-35-23,21,0.326116,0.394566,0.970000
2016-07-14_13-35-24,22,0.318750,0.386593,0.950000
2016-07-14_13-35-24,23,0.299084,0.304359,0.970000
2016-07-14_13-35-25,24,0.302264,0.300719,0.980000
2016-07-14_13-35-26,25,0.296639,0.259874,0.980000
2016-07-14_13-35-27,26,0.288078,0.440100,0.950000
2016-07-14_13-35-27,27,0.329529,0.483599,0.950000
2016-07-14_13-35-28,28,0.315684,0.753919,0.950000
2016-07-14_13-35-29,29,0.304089,0.519483,0.960000
2016-07-14_13-36-34,2,0.998385,1.154595,0.770000
2016-07-14_13-36-35,3,0.810614,1.031669,0.820000
2016-07-14_13-36-36,4,0.722394,0.827765,0.830000
2016-07-14_13-36-36,5,0.686262,1.005170,0.830000
2016-07-14_13-36-37,6,0.655341,1.005348,0.850000
2016-07-14_13-36-38,7,0.675456,0.787541,0.840000
2016-07-14_13-36-39,8,0.633863,0.889421,0.850000
2016-07-14_13-36-39,9,0.601687,1.244314,0.860000
2016-07-14_13-36-40,10,0.592384,0.844354,0.870000
2016-07-14_13-36-41,11,0.572692,1.115449,0.870000
2016-07-14_13-36-42,12,0.562019,0.997352,0.880000
2016-07-14_13-36-43,13,0.572203,0.798579,0.860000
2016-07-14_13-36-44,14,0.596214,0.779968,0.890000
2016-07-14_13-36-44,15,0.587542,1.196365,0.880000
2016-07-14_13-36-45,16,0.573735,0.895601,0.870000
2016-07-14_13-36-46,17,0.554298,1.104213,0.870000
2016-07-14_13-36-47,18,0.547644,0.590723,0.880000
2016-07-14_13-36-47,19,0.540731,1.024995,0.870000
2016-07-14_13-36-48,20,0.530934,0.897368,0.880000
2016-07-14_13-36-49,21,0.531383,0.962650,0.870000
2016-07-14_13-36-50,22,0.549565,1.118826,0.890000
2016-07-14_13-36-50,23,0.544513,0.819989,0.890000
2016-07-14_13-36-51,24,0.580114,0.932925,0.880000
2016-07-14_13-36-52,25,0.558283,1.003960,0.860000
2016-07-14_13-36-52,26,0.541837,1.073402,0.860000
2016-07-14_13-36-53,27,0.539108,1.115149,0.850000
2016-07-14_13-36-54,28,0.559902,0.878748,0.870000
2016-07-14_13-36-55,29,0.515180,0.934924,0.880000
